Computer Name,Logged On Users,Domain,Category,File Types,Logical Drive,Count,Memory
win10client1,,IMBALLAGGI,Autocad Files,"dwg, mi, dxf",ALL,30,6.77 KB
IP-DK28,,IMBALLAGGI,Access,"accdb, mdb, adp, mda, accda, mde, accde, ade, accdw",ALL,30,6.77 KB
IP-DK28,,IMBALLAGGI,Autocad Files,"dwg, mi, dxf",ALL,30,6.77 KB
IP-NB33,a.caldi,IMBALLAGGI,Access,"accdb, mdb, adp, mda, accda, mde, accde, ade, accdw",ALL,30,22.56 MB
IP-NB31,a.girardi,IMBALLAGGI,Autocad Files,"dwg, mi, dxf",ALL,30,6.77 KB
IP-NB01,,IMBALLAGGI,Access,"accdb, mdb, adp, mda, accda, mde, accde, ade, accdw",ALL,30,22.56 MB
IP-NB29,C.Pappada,IMBALLAGGI,Access,"accdb, mdb, adp, mda, accda, mde, accde, ade, accdw",ALL,30,22.56 MB
IP-DK17,s.mainenti,IMBALLAGGI,Audio,"mp3, m4a",ALL,30,91.58 MB
IP-NB11,a.iozzolino,IMBALLAGGI,Access,"accdb, mdb, adp, mda, accda, mde, accde, ade, accdw",ALL,30,20.05 MB
IP-NB03,,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,28,101.21 GB
IP-NB32,m.morlacchi,IMBALLAGGI,Autocad Files,"dwg, mi, dxf",ALL,26,5.87 KB
IP-DK26,a.savi,IMBALLAGGI,Word,"doc, docx, docm, odt",ALL,26,5.77 MB
IP-DK23,,IMBALLAGGI,Autocad Files,"dwg, mi, dxf",ALL,26,5.87 KB
IP-DK30,s.colombo,IMBALLAGGI,Access,"accdb, mdb, adp, mda, accda, mde, accde, ade, accdw",ALL,26,5.87 KB
IP-DK27,g.bianchi,IMBALLAGGI,Access,"accdb, mdb, adp, mda, accda, mde, accde, ade, accdw",ALL,26,5.87 KB
ip-nb34,a.servi,IMBALLAGGI,Access,"accdb, mdb, adp, mda, accda, mde, accde, ade, accdw",ALL,23,532.96 KB
IP-NB11,a.iozzolino,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,23,51.8 MB
IP-DK09,m.renda,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,23,67.45 GB
win10client2,,IMBALLAGGI,Audio,"mp3, m4a",ALL,23,838.4 KB
ip-nb34,a.servi,IMBALLAGGI,Autocad Files,"dwg, mi, dxf",ALL,22,4.96 KB
IP-DK12,ip-remote-pc-hp,IMBALLAGGI,Autocad Files,"dwg, mi, dxf",ALL,22,4.96 KB
IP-DK12,ip-remote-pc-hp,IMBALLAGGI,Access,"accdb, mdb, adp, mda, accda, mde, accde, ade, accdw",ALL,22,4.96 KB
IP-NB30,as.aledi,IMBALLAGGI,Audio,"mp3, m4a",ALL,22,62.17 MB
IP-DK31,,IMBALLAGGI,Autocad Files,"dwg, mi, dxf",ALL,22,4.96 KB
IP-DK31,,IMBALLAGGI,Access,"accdb, mdb, adp, mda, accda, mde, accde, ade, accdw",ALL,22,4.96 KB
IP-DK20,e.respizzi,IMBALLAGGI,Audio,"mp3, m4a",ALL,21,5.96 MB
IP-NB23,d.dozio,IMBALLAGGI,Access,"accdb, mdb, adp, mda, accda, mde, accde, ade, accdw",ALL,20,23.05 MB
IP-NB01,,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,19,321.58 MB
IP-NB23,d.dozio,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,19,3.93 MB
IP-DK32,d.dadamo,IMBALLAGGI,Access,"accdb, mdb, adp, mda, accda, mde, accde, ade, accdw",ALL,18,4.06 KB
IP-NB28,g.gaudenzi,IMBALLAGGI,Audio,"mp3, m4a",ALL,18,255.84 MB
IP-DK32,d.dadamo,IMBALLAGGI,Autocad Files,"dwg, mi, dxf",ALL,18,4.06 KB
IP-DK13,bgboard2,IMBALLAGGI,Autocad Files,"dwg, mi, dxf",ALL,18,4.06 KB
IP-NB07,g.lorenzi,IMBALLAGGI,Audio,"mp3, m4a",ALL,18,8.66 MB
IP-DK22,a.settino,IMBALLAGGI,Audio,"mp3, m4a",ALL,17,963.25 KB
IP-WS01,a.essawi,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,16,130.46 MB
IP-NB32,m.morlacchi,IMBALLAGGI,Audio,"mp3, m4a",ALL,15,10.23 MB
IP-NB28,g.gaudenzi,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,15,1.59 MB
IP-DK19,team.leader,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,14,505.0 KB
IP-NB01,,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,14,18.37 MB
IP-NB33,a.caldi,IMBALLAGGI,Audio,"mp3, m4a",ALL,13,5.41 MB
IP-DK18,j.gellera,IMBALLAGGI,Audio,"mp3, m4a",ALL,13,515.92 KB
IP-DK17,s.mainenti,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,13,11.22 MB
IP-NB24,,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,13,375.14 MB
IP-NB30,as.aledi,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,12,31.31 MB
IP-DK18,j.gellera,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,12,240.0 KB
IP-DK22,a.settino,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,12,226.0 KB
IP-DK17,s.mainenti,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,12,80.4 GB
IP-NB09,s.manoli,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,12,33.97 GB
IP-DK15,flex,IMBALLAGGI,Audio,"mp3, m4a",ALL,11,360.55 KB
IP-NB31,a.girardi,IMBALLAGGI,Audio,"mp3, m4a",ALL,11,5.24 MB
IP-NB29,C.Pappada,IMBALLAGGI,Audio,"mp3, m4a",ALL,11,9.99 MB
IP-NB04,s.ferrante,IMBALLAGGI,Audio,"mp3, m4a",ALL,11,539.44 KB
IP-DK19,team.leader,IMBALLAGGI,Audio,"mp3, m4a",ALL,11,547.37 KB
IP-NB07,g.lorenzi,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,11,28.38 GB
IP-DK09,m.renda,IMBALLAGGI,Audio,"mp3, m4a",ALL,11,5.75 MB
IP-DK24,s.donati,IMBALLAGGI,Audio,"mp3, m4a",ALL,11,484.47 KB
IP-DK12,ip-remote-pc-hp,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,10,27.42 KB
IP-DK21,as.aledi,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,10,1012.0 KB
IP-DK31,,IMBALLAGGI,Audio,"mp3, m4a",ALL,10,9.83 MB
IP-DK28,,IMBALLAGGI,Audio,"mp3, m4a",ALL,10,14.03 MB
IP-NB25,a.braia,IMBALLAGGI,Audio,"mp3, m4a",ALL,10,5.23 MB
IP-DK30,s.colombo,IMBALLAGGI,Audio,"mp3, m4a",ALL,10,498.32 KB
IP-DK23,,IMBALLAGGI,Audio,"mp3, m4a",ALL,10,496.47 KB
IP-NB33,a.caldi,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,10,1.58 MB
IP-NB22,s.monichino,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,10,40.43 GB
IP-NB21,i.colombo,IMBALLAGGI,Audio,"mp3, m4a",ALL,10,484.47 KB
IP-DK32,d.dadamo,IMBALLAGGI,Audio,"mp3, m4a",ALL,10,5.23 MB
IP-DK11,c.giroletti,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,9,3.56 MB
IP-NB27,l.daliesio,IMBALLAGGI,Audio,"mp3, m4a",ALL,9,5.22 MB
IP-DK26,a.savi,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,9,8.2 GB
IP-DK26,a.savi,IMBALLAGGI,Audio,"mp3, m4a",ALL,9,482.61 KB
ip-nb34,a.servi,IMBALLAGGI,Audio,"mp3, m4a",ALL,9,484.47 KB
IP-NB01,,IMBALLAGGI,Audio,"mp3, m4a",ALL,9,484.47 KB
IP-DK12,ip-remote-pc-hp,IMBALLAGGI,Audio,"mp3, m4a",ALL,8,323.56 KB
IP-DK16,ipplotter,IMBALLAGGI,Audio,"mp3, m4a",ALL,8,34.9 MB
IP-NB14,a.essawi,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,8,1.71 MB
IP-DK07,,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,8,199.0 KB
IP-NB26,p.avallone,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,8,199.0 KB
IP-DK27,g.bianchi,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,8,1.71 MB
IP-NB32,m.morlacchi,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,8,199.0 KB
IP-DK24,s.donati,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,8,312.0 KB
IP-DK11,c.giroletti,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,8,5.66 GB
IP-DK15,flex,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,8,382.0 KB
IP-WS01,a.essawi,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,7,6.62 GB
IP-NB05,s.mainenti,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,7,2.0 MB
IP-NB27,l.daliesio,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,6,175.0 KB
IP-NB14,a.essawi,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,6,4.38 GB
IP-NB27,l.daliesio,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,6,26.0 MB
IP-DK30,s.colombo,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,6,175.0 KB
IP-CV01,,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,6,175.0 KB
IP-NB28,g.gaudenzi,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,6,486.68 MB
IP-DK20,e.respizzi,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,6,175.0 KB
IP-DK26,a.savi,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,6,175.0 KB
