Computer Name,Logged On Users,Domain,Category,File Types,Logical Drive,Count,Memory
IP-DK20,e.respizzi,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-NB26,p.avallone,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,0,0 MB
win10client1,,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,0,0 MB
IP-DK07,,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,0,0 MB
IP-DK07,,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
win10client1,,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-NB28,g.gaudenzi,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-DK25,f.santocchi,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-DK25,f.santocchi,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,0,0 MB
ip-nb34,a.servi,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,0,0 MB
ip-nb34,a.servi,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-NB25,a.braia,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-NB22,s.monichino,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,0,0 MB
IP-NB05,s.mainenti,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,0,0 MB
IP-NB05,s.mainenti,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-DK22,a.settino,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,0,0 MB
IP-DK16,ipplotter,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-DK22,a.settino,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
